Channel ID,Channel URL,Channel title
UCpa-Zb0ZcQjTCPP1Dx_1M8Q,https://www.youtube.com/channel/UCpa-Zb0ZcQjTCPP1Dx_1M8Q,"LegalEagle"
UCphEo21J3_rev7hVg-kHAOQ,https://www.youtube.com/channel/UCphEo21J3_rev7hVg-kHAOQ,"Ryan Unfiltered"
UCphTF9wHwhCt-BzIq-s4V-g,https://www.youtube.com/channel/UCphTF9wHwhCt-BzIq-s4V-g,"What If"
UCphqjYZxxzjNbONVmY-0J7Q,https://www.youtube.com/channel/UCphqjYZxxzjNbONVmY-0J7Q,"blancolirio"
UCpuqYFKLkcEryEieomiAv3Q,https://www.youtube.com/channel/UCpuqYFKLkcEryEieomiAv3Q,"Therapy in a Nutshell"
UCqBgIIiRCx2a8665eAXf2gw,https://www.youtube.com/channel/UCqBgIIiRCx2a8665eAXf2gw,"Jagan krishnan"
UCqZQJ4600a9wIfMPbYc60OQ,https://www.youtube.com/channel/UCqZQJ4600a9wIfMPbYc60OQ,"Sabin Civil Engineering"
UCqf-C-dxAFNWKYZG61PYn8A,https://www.youtube.com/channel/UCqf-C-dxAFNWKYZG61PYn8A,"Vibe with Karthik"
UCqhBwbWSZWi_wueVDYK3a5Q,https://www.youtube.com/channel/UCqhBwbWSZWi_wueVDYK3a5Q,"Jessica Marchi"
UCqkrHC2Rt6LXbxarIF1GQQA,https://www.youtube.com/channel/UCqkrHC2Rt6LXbxarIF1GQQA,"vera sweeney"
UCqnbDFdCpuN8CMEg0VuEBqA,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,"The New York Times"
